TRADEDATE,Value,tau,beta0,beta1,beta2
2014-01-09,8.0,21.501023636147558,0.05370877589312065,0.11145347207882841,-0.10117982557581827
2014-01-10,8.0,11.258550539060533,0.014800095045273586,-0.019586070934285688,-0.18486038962472887
2014-01-13,8.0,24.859058983413874,0.10391565014314713,0.013695317238012261,0.207248775778685
2014-01-14,8.0,5.460348713317283,0.06887367182563248,-0.13136407416815513,0.12268018999038671
2014-01-15,8.0,23.477682294475244,0.13763108759399514,-0.12776491825557726,0.22230555474559754
2014-01-16,8.0,25.793691446236128,0.11186113143395612,-0.06484182945651816,0.16705513599070826
2014-01-17,8.0,25.701336283846754,0.0980038920364126,0.03382959130312704,0.04820856343222915
2014-01-20,8.0,19.554635348323878,0.08298419457317441,0.0021935480908499283,-0.054843540048594486
2014-01-21,8.0,13.156011228987879,0.09233827059495961,0.0709962667990868,0.026972275237666404
2014-01-22,8.0,26.743227234785444,0.033715436780908464,-0.08950422330882651,0.060161415491175235
2014-01-23,8.0,10.161017404505188,0.17123846903726397,-0.02768064329800525,0.034747502704399524
2014-01-24,8.0,1.8129702372004086,0.04974294883838433,-0.1317126608905992,0.06411339882999872
2014-01-27,8.0,9.518441850629674,0.15620806714787935,0.0988214801560634,-0.10839794724287138
2014-01-28,8.0,17.734785753986984,0.018325941907319995,-0.10906925770155962,-0.07003083021188962
2014-01-29,8.0,1.419285125510692,0.13163114216293184,-0.10356645305169031,-0.08607642842445407
2014-01-30,8.0,22.945019820629277,0.12235123945973911,-0.013118103770391576,0.08710219638732658
2014-01-31,8.0,21.153631749835384,0.15092745136092486,0.06861592925747526,-0.15762053177608204
2014-02-03,8.0,8.793865469530147,0.07618707682174825,0.08411382027241712,0.1559905591979877
2014-02-04,8.0,10.268991207384426,0.13435749092884733,-0.06674854257452573,0.18336932451869692
2014-02-05,8.0,0.7165414559224592,0.0875106319297087,0.04705788761226479,0.011164670873282934
2014-02-06,8.0,3.100950546671306,0.1107296787501047,0.10855302675082568,-0.11186703776561627
2014-02-07,8.0,18.136252893372333,0.1653087035011753,-0.04698567955703778,-0.1803122083054541
2014-02-10,8.0,29.75650724062186,0.05726674886992978,-0.016897166461425916,-0.07966926573467599
2014-02-11,8.0,5.714321585379716,0.07520084323345824,0.0998945572010253,-0.15284018529505994
2014-02-12,8.0,28.67664557033089,0.07484997884650049,-0.06982052480347915,-0.11963880100217765
2014-02-13,8.0,9.938408596799409,0.09075287724952358,0.007620185437312438,0.05918869870435539
2014-02-14,8.0,29.373406695510017,0.10978584424079921,-0.1278515708678225,0.1740820878754939
2014-02-17,8.0,18.147518732989077,0.01950158348885775,0.037179947803582775,-0.09944223360245738
2014-02-18,8.0,21.605002091628954,0.150356418553917,-0.03971935901802301,-0.12325577792510675
2014-02-19,8.0,25.579346808315226,0.15382314342168835,0.0418330254522854,0.07047306376765705
2014-02-20,8.0,26.64264810000988,0.13445360883555724,0.049503531783743254,0.0797935823603137
2014-02-21,8.0,18.098268256213274,0.07177837167235261,0.07598604370608869,-0.07374541711124888
2014-02-24,8.0,5.86995096924441,0.04556258856491195,-0.09240947391759491,0.18867827590218178
2014-02-25,8.0,0.8904605286199674,0.15840283707523237,0.11584916238185253,0.09836956532975866
2014-02-26,8.0,25.060861736605254,0.08173835646954755,0.0034104209685552056,-0.1645703258732789
2014-02-27,8.0,23.903667539011856,0.06205328231708752,-0.02496279678983028,0.05436715497375075
2014-02-28,8.0,18.94698093116179,0.08494332926006129,0.008261620581752227,-0.07368614142436798
2014-03-03,8.0,1.0016123203316318,0.011351208265925738,0.08290818216603221,0.20355868211342276
2014-03-04,8.0,25.1256488644416,0.1371849568991272,-0.07707340719503616,0.17994524841012688
2014-03-05,8.0,28.331059076343045,0.06991102905133051,0.026703224497594824,-0.1468662638926429
2014-03-06,8.0,8.257693746209076,0.1458976677769599,0.09234630109006234,0.1589805697687911
2014-03-07,8.0,22.05281572937047,0.06420875414020888,0.11673733730394217,-0.058242312834938054
2014-03-11,8.0,15.999091121163874,0.07331233368204151,-0.08867485838837902,-0.17598504276938878
2014-03-12,8.0,2.0467906206145314,0.11640638334457301,0.06142627985306065,-0.17791764468083573
2014-03-13,8.0,27.27095047328966,0.07798515721115509,0.014350734515975572,0.1214553395540191
2014-03-14,8.0,24.624553642473696,0.14888377398497646,-0.03805053856482414,-0.14782263692315176
2014-03-17,8.0,2.9348996043373834,0.08574377158007584,0.11437056576641183,0.1725208357183577
2014-03-18,8.0,7.675624096120837,0.061759745050858864,0.11734232636754297,0.030049599881097594
2014-03-19,8.0,6.584340376531747,0.09844632109555851,-0.028728846220222898,0.04674747276775837
2014-03-20,8.0,27.546670052076895,0.14148185283285572,0.10582750514516115,0.12482283246880604
2014-03-21,8.0,11.791333584844145,0.11271870421367183,0.10101981454302403,-0.14720235731886883
2014-03-24,8.0,16.61263743326646,0.06074780048823775,-0.08346059727214056,0.12470505678452959
2014-03-25,8.0,12.770884141900222,0.10063227810249001,-0.10659574251878665,-0.16809589151313373
2014-03-26,8.0,24.478696874377498,0.05557500695259634,-0.056812111368572546,-0.06272249062849791
2014-03-27,8.0,3.101863573363537,0.05457553440833182,-0.03683898158848581,0.1824549869512634
2014-03-28,8.0,19.990160616532407,0.07965568243050453,-0.11704695551396439,0.21816597602127658
2014-03-31,8.0,25.105028332360867,0.11602563432554774,-0.019151733969693205,0.08228783672645035
2014-04-01,8.0,20.133976105607605,0.16071181365937065,0.050809899553011045,-0.12430201903142687
2014-04-02,8.0,7.9389198743061415,0.029777219846201616,-0.12254408171101608,0.08457849932959238
2014-04-03,8.0,29.46984501767376,0.11855802863019807,0.06900847213982464,0.23135415300397305
2014-04-04,8.0,3.6089221512051384,0.07154499109532081,-0.07591987323326523,0.16328956366525527
2014-04-07,8.0,2.0159002251825964,0.10110027901677124,0.019919108587431983,-0.021842836269621357
2014-04-08,8.0,12.253009065785562,0.02014354341209138,-0.08318599900167781,0.030646713824706406
2014-04-09,8.0,9.292221115485491,0.06517367525963005,-0.013858583395803342,0.18598358228632494
2014-04-10,8.0,8.54826391546478,0.15186010714122372,0.04487049131326368,0.1676904062437754
2014-04-11,8.0,10.05227462940034,0.013513691819424021,0.00824341156064326,0.20521399841208315
2014-04-14,8.0,12.578596817164243,0.027994262558295128,0.04973178091510563,0.10216732234134063
2014-04-15,8.0,17.941989731429754,0.10078370470561629,0.031666689612890014,-0.04418499563188086
